task,method,raw_method,seed,snr_db,accuracy
d_to_c,CORAL-SDAE,coral,42,0.0,0.5560850439882697
d_to_c,CORAL-SDAE,coral,42,-6.0,0.4571114369501466
d_to_c,MMD-SDAE,mmd,42,6.0,0.5821114369501467
d_to_c,MMD-SDAE,mmd,42,0.0,0.5487536656891495
d_to_c,MMD-SDAE,mmd,42,-6.0,0.45857771260997066
d_to_c,DANN-SDAE,dann,42,6.0,0.5802785923753666
d_to_c,DANN-SDAE,dann,42,0.0,0.5483870967741935
d_to_c,DANN-SDAE,dann,42,-6.0,0.4776392961876833
d_to_c,Adaptive-SDAE-3M,proposed,42,6.0,0.6165689149560117
d_to_c,Adaptive-SDAE-3M,proposed,42,0.0,0.5821114369501467
d_to_c,Adaptive-SDAE-3M,proposed,42,-6.0,0.5289589442815249
